type,category,confidenceLevel,explanation,quantity
product,Primary,1.0,Palm kernel oil is a primary product of the oil palm fruit.,0
service,Maintenance/Repair Service,0.8,The text mentions 'TBS Periode' which is a service related to the maintenance and repair of palm oil processing machines.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider.,1
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider.,1
service,Maintenance/Repair Service,0.8,The text mentions 'JUAL BELI' which is a service related to the maintenance and repair of oil palm trees.,1
service,Maintenance/Repair Service,0.8,The text mentions 'JUAL BELI' which is a service related to the maintenance and repair of oil palm trees.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil (CPO) is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos angkut CPO refers to the transportation of crude palm oil (CPO),1
product,Primary,1.0,Oil palm fruit is a primary product.,0
product,Primary,1.0,Penjuanal CPO is a product of palm oil fruit.,135
service,Transport service,0.8,Penyesuaian ongkos angkut CPO refers to the transportation cost of crude palm oil.,100
service,Transport service,0.8,"The text refers to the cost of transporting crude palm oil (CPO), indicating that it is a service related to the processing and transportation of palm oil.",1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,0.95,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
service,Transport Service,0.8,Ongkos Angkut CPO is a transportation service for oil palm fruit.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,"CPO Crude Palm Oil is a product that falls under the category of Primary, as it is a raw material directly obtained from the oil palm fruit.",100.0
product,Primary,1.0,Crude palm oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Palm kernel is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
service,Transport service,1.0,Ongkos angkut CPO refers to the transportation of crude palm oil (CPO) which is a service provided by a company.,0
service,Transport service,1.0,Ongkos angkut CPO refers to the transportation service for palm oil products.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,"Palm kernel is a primary part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Penjuanal CPO refers to the sale of crude palm oil.,5000.0
product,Primary,1.0,PENJUALAN CPO is a product of palm oil fruit.,0
product,Primary,1.0,Oil palm fruit is a primary product.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Maintenance/Repair Service,0.8,"The text mentions 'penjualan' which means sale in Bahasa Indonesia, and 'CPOP' which is an abbreviation for Crude Palm Oil, indicating that the product being sold is related to palm oil processing.",1
service,Transport service,1.0,Ongkos angkut CPO refers to the transportation service for palm oil.,1
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,0.8,"The text refers to the cost of transporting crude palm oil (CPO), indicating that it is a service related to the processing of palm oil.",1
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Maintenance/Repair Service,0.9,The text mentions 'Pembayaran Uang Muka' which is a payment service for palm oil processing contracts.,1
service,Transport service,1.0,Transport of CPO via Sungai,1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,2350
service,Maintenance/Repair Service,0.8,The text mentions 'Pembayaran Uang Muka' which is a payment service for palm oil processing contracts.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
service,Maintenance/Repair Service,0.8,The text mentions 'TBS Periode' which is a service related to palm oil processing.,1
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,CPO Crude Palm Oil is a product derived from the oil palm fruit.,0
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,0.9,Ongkos Angkut is a transportation service provider for oil palm fruit.,1
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider.,1
service,Maintenance/Repair Service,0.8,Tuslaag TBS Div 4 is a maintenance and repair service for oil palm processing machines.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit and is used for processing palm oil.,85
product,Primary,1.0,PANJAR CRUDE PALM OIL KONTRAK NO 004SJMSKJBCPOI2021 is a primary product of oil palm fruit.,1
product,Primary,1.0,PANJAR CRUDE PALM OIL is a product of palm oil fruit.,126
product,Primary,1.0,PANJAR CRUDE PALM OIL is a product of palm oil fruit.,149
product,Primary,1.0,PANJAR CRUDE PALM OIL is a product of palm oil fruit.,257
service,Maintenance/Repair Service,0.9,PANJAR PALM KERNEL KONTRAK NO 058SJMSKJBPKVII2021 is a maintenance and repair service contract for palm kernel processing equipment.,1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
service,Management Service,0.8,TBS Periode 10 Mei 2021 refers to the management of palm oil processing services.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for oil palm fruit.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Maintenance/Repair Service,0.9,The text mentions 'TBS Periode 28' which is a service related to the maintenance and repair of palm oil processing machines.,1
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,106
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and cosmetics.",0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
service,Maintenance/Repair Service,0.8,The text mentions 'TBS Periode' which is a service related to palm oil processing.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil CPO is a primary product of the oil palm fruit.,190000
product,Primary,1.0,Crude Palm Oil CPO is a primary product of the oil palm fruit.,190000
product,Primary,1.0,Crude Palm Oil CPO is a primary product of the oil palm fruit.,190000
service,Maintenance/Repair Service,0.8,The text refers to the payment of a maintenance fee for a contract related to palm oil processing.,1
service,Maintenance/Repair Service,0.8,The text mentions 'Pembayaran Uang Muka' which is a service related to the maintenance and repair of palm kernel.,1
service,Maintenance/Repair Service,0.8,The text mentions 'Pembayaran Uang Muka' which is a service related to the processing of palm kernel.,1
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSBUMI SAWIT PERMAI KE BULKING BOOM BARU DO  2750CPO275021C005,2750
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
service,Transport service,0.9,The text refers to a transportation service for palm oil from PKSPangkalan Panji Mill to an unknown destination.,2450
product,Primary,1.0,ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSBUMI SAWIT PERMAI KE BULKING BOOM BARU DO  2450CPO275021C001 is a product of palm oil fruit,2450
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,0.9,"Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 045ANJTNCPO0621 is related to the transportation of crude palm oil, which falls under the category of transport service.",1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
service,Maintenance/Repair Service,0.8,The text mentions 'PANJAR PENJUALAN CPO' which indicates a service related to the purchase of palm oil.,1
product,Primary,1.0,Oil palm fruit is a primary product.,104
service,Maintenance/Repair Service,0.8,Panjar Penjualan CPO is a service that provides maintenance and repair services for oil palm processing machines and equipment.,1
service,Maintenance/Repair Service,0.8,The text mentions 'Penjualan CPO' which is a service related to the processing of palm oil.,1
service,Transport service,0.8,The text mentions 'Panjar Penjualan CPO' which is a transportation service for palm oil products.,1
product,Primary,1.0,Oil palm fruit is a primary product.,179
service,Maintenance/Repair Service,0.8,"The text mentions 'Penjualan' which means sale in Indonesian, and 'CPO' which is a type of palm oil, indicating that the service provided is related to the sale of palm oil products.",1
service,Maintenance/Repair Service,0.8,"The text mentions 'Penjualan' which means sale in Indonesian language, and it also mentions the product as 'CPO', which is a type of palm oil. Therefore, it can be classified as a service related to the maintenance or repair of palm oil processing equipment.",1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,306
service,Transport service,0.9,The text mentions 'Panjar Penjualan CPO' which is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,0.8,Ongkos angkut cpo is a transportation service for palm oil products.,1
product,Primary,1.0,Palm kernel oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,0.95,Ongkos Angkut CPO is a transportation service for oil palm fruit.,1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
service,Transport service,1.0,Pelunasan 20 is a transportation service for palm oil products.,20
product,Primary,1.0,Biaya Pengangkutan Crude Palm Oil CPO No DO 022DOANJIMTCPO1121 is a product of palm oil fruit.,1
service,Transport service,0.8,"Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 036ANJTNCPO0521 is related to the transportation of crude palm oil, which falls under the category of transport service.",1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,1.0,Ongkos angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,0.95,"Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 036ANJIMTCPO1120 Tanggal 10 Nopember 2020 is related to transportation of crude palm oil, hence it falls under the category of transport service",1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Angkutan CPO (Oil Palm Fruit Transport) is a service that provides transportation of oil palm fruit from one location to another.,1
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,INTI KELAPA SAWIT is a type of oil palm fruit which is the primary product of palm oil processing.,1
product,Primary,1.0,JASA ANGKUT CRUDE PALM OIL is a product category of Primary,100
product,Primary,1.0,Palm kernel is a part of the oil palm fruit and is directly used in the processing of palm oil.,0
product,Primary,1.0,PENJUALAN CPO is a product of palm oil fruit.,0
product,Primary,1.0,Oil palm fruit is a primary product,0
product,Primary,1.0,PENJUALAN CPO is a product of palm oil fruit.,0
service,Maintenance/Repair Service,0.8,The product is related to maintenance and repair services for palm kernel oil processing machines.,1
service,Maintenance/Repair Service,0.8,The text mentions 'PKPalm Kernel' which is a service related to palm oil processing.,1
service,Maintenance/Repair Service,0.8,The product is related to maintenance and repair services for oil palm processing equipment.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Oil palm fruit is a primary product.,0
product,Primary,1.0,Oil palm fruit is a primary product.,102
product,Primary,1.0,"The text refers to the sale of crude palm oil (CPO), which is a primary product derived from the oil palm fruit.",125
product,Primary,1.0,"Penjualan CPO refers to the sale of crude palm oil, which is a primary product derived from the oil palm fruit.",153
product,Primary,1.0,Oil palm fruit is a primary product.,302
service,Transport service,0.9,Uang Muka is a transportation service for palm oil products.,80
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,0.8,"Angkutan CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 012ANJIMTCPO0421 is related to the transportation of crude palm oil, which falls under the category of transport service.",3000 MT
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,0.8,"Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 016ANJIMTCPO0621 is related to the transportation of crude palm oil, which falls under the category of transport service.",5000 MT
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,0.8,Ongkos Angkut is a transportation service provider for oil palm fruit.,1
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
service,Maintenance/Repair Service,0.8,Tuslaag TBS Div 4 is a maintenance and repair service for oil palm processing machines.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
service,Transport service,0.8,TBS PERIODE 03 SD 04 FEBRUARI 2021 refers to a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,PANJAR CRUDE PALM OIL is a product of palm oil fruit.,1
product,Primary,1.0,PANJAR CRUDE PALM OIL is a product of palm oil fruit.,160
product,Primary,1.0,PANJAR CRUDE PALM OIL is a product of palm oil fruit.,162
product,Primary,1.0,PANJAR CRUDE PALM OIL is a product of palm oil fruit.,1
product,Primary,1.0,PANJAR CRUDE PALM OIL is a product of palm oil fruit.,1
product,Primary,1.0,PANJAR CRUDE PALM OIL is a product of palm oil fruit.,1
service,Transport Service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Palm kernel oil is a primary product of the oil palm fruit.,0
service,Maintenance/Repair Service,0.8,The text mentions 'TBS PERIODE' which is a maintenance and repair service for oil palm fruit.,1
service,Maintenance/Repair Service,0.8,The text mentions 'CPO KONTRAK' which is a service contract for maintenance and repair of oil palm trees.,1
service,Maintenance/Repair Service,0.8,The text mentions 'JUAL BELI' which is a service related to the maintenance and repair of oil palm trees.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Maintenance/Repair Service,0.8,The text mentions 'PANJAR PENJUALAN CPO' which indicates a service related to the purchase of palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,0.95,Ongkos Angkut CPO is a transportation service for oil palm fruit.,1
service,Transport service,1.0,JASA ANGKUT CPO DARI PABRIK MEGANUSA INTISAWIT  PKS BUMIPALMA KE BULKING RENGAT is a transport service for palm oil products,1
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crud palm oil is a product derived from the fruit of the oil palm tree.,0
service,Maintenance/Repair Service,0.8,TBS PERIODE 10 SD 14 FEBRUARI 2021 is related to maintenance and repair services for palm oil processing equipment.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,0.8,JASA ANGKUT CPO DARI PABRIK MEGANUSA INTISAWIT PKS BUMIPALMA KE BULKING RENGAT is a transportation service for palm oil products from the factory to the bulk storage area.,1
product,Primary,1.0,Crude Palm Oil is a product derived from the oil palm fruit and is used as raw material for various industries.,0
service,Transport service,1.0,Ongkos angkut CPO refers to the transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
product,Primary,1.0,Palm oil fruit,1
service,Transport service,1.0,Ongkos angkut CPO refers to the transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
product,Primary,1.0,PENJUALAN 250000 KG CPO is a product of palm oil fruit.,250000
product,Primary,1.0,Uang muka crude palm oil is a primary product of the oil palm fruit.,100
product,Primary,1.0,Uang Muka CPO 90 atas SPJB No  037MMALCBUCPOV2021 is a product of palm oil fruit.,90
service,Transport service,1.0,Ongkos angkut CPO refers to the transportation service for palm oil products.,1
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
service,Maintenance/Repair Service,0.8,Tuslaag TBS Div 1 is a maintenance and repair service for oil palm processing machines.,1
product,Primary,1.0,Oil palm fruit,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Oil palm fruit,1
product,Primary,1.0,Crude palm oil is a product derived from the fruit of the oil palm tree.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
service,Maintenance/Repair Service,0.8,The text mentions 'JUAL BELI' which is a service related to the maintenance and repair of oil palm trees.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil CPO is a primary product of the oil palm fruit.,285000
product,Primary,1.0,PANJAR CRUDE PALM OIL is a product of palm oil fruit.,123456789
product,Primary,1.0,PANJAR CRUDE PALM OIL is a product of palm oil fruit.,1
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,0.8,TBS is a transportation service provider for oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,2450
product,Primary,1.0,ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSMUARA KANDIS MILL KE BULKING BOOM BARU DO  2850CPO285021C051,2850
service,Transport service,0.8,Angkutan crude palm oil (CPO) is a service that involves transporting the raw material from one location to another.,120
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
service,Maintenance/Repair Service,0.8,The text mentions 'PANJAR PENJUALAN CPO' which is a service related to the maintenance and repair of palm oil processing equipment.,1
service,Transport service,0.9,The text mentions 'Panjar Penjualan CPO' which is a transportation service for palm oil products.,1
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
product,Primary,1.0,Tuslaag CPO is a type of palm oil product.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product derived from the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a part of the oil palm fruit and is directly used for processing palm oil.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
service,Transport service,0.9,"Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 013ANJTNCPO0321 is related to the transportation of crude palm oil, which falls under the category of transport service.",1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,Pelunasan palm kernel is a primary product of oil palm fruit.,500
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Biaya Pengangkutan Crude Palm Oil CPO No DO 073DOANJTNCPO0921 is a product of palm oil fruit.,1
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,Palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,1000.0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Pelunasan palm kernel is a primary product of oil palm fruit.,50
product,Primary,1.0,"The text refers to a purchase order for palm oil, which is a primary product of the oil palm fruit.",5000
service,Transport service,0.8,"The text mentions 'Penjualan Palm Kernel', which indicates the sale of palm kernel, a service related to palm oil processing.",300
product,Primary,1.0,UAng Muka CPO is a type of oil palm fruit.,0
service,Transport service,0.95,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Biaya Pengangkutan Crude Palm Oil CPO No DO 087DOANJTNCPO1021 is a product of palm oil fruit.,1
